record_no	video_id	vid	start_time	end_time	start_frame	end_frame	caption
83	S33_Brownie_7150991-211	f92_i030_a00	179.0	190.0	5370	5730	taking a bag of brownie mix out of a box .
84	S24_Brownie_7150991-483	f62_i025_a00	205.0	207.0	6150	6240	taking an oil bottle from a base cabinet .
85	S54_Eggs_7150991-251	f157_i036_a00	166.0	218.0	4980	6570	stirring eggs in a frying pan with a spatula .
86	S51_Pizza_7150991-323	f148_i023_a00	324.0	328.0	9720	9870	putting a baking pan on top of a cutting board .
87	S48_Brownie_7150991-179	f132_i003_a00	22.0	23.0	660	720	opening a cabinet .
88	S13_Brownie_7150991-631	f21_i056_a00	625.0	627.0	18750	18840	opening an oven .
89	S34_Salad_7150991-200	f100_i024_a00	251.0	257.0	7530	7740	taking a zucchini out of a bag .
90	S25_Salad_7150991-302	f66_i005_a00	52.0	55.0	1560	1680	taking a lettuce leaf from a lettuce head .
91	S35_Brownie_7150991-200	f102_i005_a00	33.0	41.0	990	1260	taking a baking pan out of an oven .
92	S49_Pizza_7150991-198	f138_i017_a00	159.0	162.0	4770	4890	taking a cheese grater from a cabinet .
93	S17_Eggs_7150991-1187	f40_i037_a00	197.0	324.0	5910	9750	stirring an egg in a frying pan with a spatula .
94	S41_Pizza_7150991-287	f124_i027_a00	492.0	496.0	14760	14910	taking pepperoni slices from a cutting board .
95	S14_Brownie_7150991-1526	f25_i022_a00	168.0	170.0	5040	5130	putting scissors into a drawer .
96	S16_Salad_7150991-1308	f37_i028_a00	312.0	324.0	9360	9750	putting ingredients into a fridge .
97	S48_Brownie_7150991-179	f132_i027_a00	237.0	239.0	7110	7200	opening an oven .
98	S48_Pizza_7150991-259	f134_i006_a00	68.0	70.0	2040	2130	wringing a pizza crust can with hands .
99	S13_Eggs_7150991-1728	f22_i061_a00	421.0	422.0	12630	12690	turning off a gas stove .
100	S14_Salad_7150991-1238	f28_i027_a00	257.0	259.0	7710	7800	taking a fork from a drawer .
101	S40_Brownie_7150991-288	f117_i028_a00	169.0	173.0	5070	5220	mixing the ingredients of brownie in a big bowl with a whisk .
102	S11_Pizza_7150991-2116	f14_i016_a00	98.0	104.0	2940	3150	peeling off the label of a pizza crust can .
103	S32_Sandwich_7150991-1	f91_i021_a00	90.0	91.0	2700	2760	opening a blueberry jam jar .
104	S51_Eggs_7150991-512	f147_i014_a00	70.0	72.0	2100	2190	opening a drawer .
105	S31_Eggs_7150991-1	f83_i000_a00	15.0	17.0	450	540	opening a cabinet .
106	S36_Sandwich_7150991-165	f111_i009_a00	59.0	61.0	1770	1860	putting a slice of bread on a bag .
107	S08_Sandwich_7150991-539	f08_i006_a00	34.0	38.0	1020	1170	twisting off a twist tie from a bag of sliced bread .
108	S54_Sandwich_7150991-305	f160_i025_a00	129.0	136.0	3870	4110	scooping out blueberry jam from a jar with a butter knife .
109	S34_Eggs_7150991-149	f98_i023_a00	129.0	132.0	3870	3990	opening a pepper bottle .
110	S32_Sandwich_7150991-1	f91_i003_a00	17.0	19.0	510	600	closing a fridge .
111	S20_Salad_7150991-475	f56_i000_a00	9.0	10.0	270	330	opening a fridge .
112	S20_Brownie_7150991-236	f53_i029_a00	330.0	338.0	9900	10170	pressing the buttons on an oven .
113	S53_Sandwich_7150991-103	f155_i004_a00	26.0	32.0	780	990	twisting off a twist tie from a bag of sliced bread .
114	S11_Eggs_7150991-1247	f13_i010_a00	40.0	41.0	1200	1260	opening a fridge .
115	S08_Sandwich_7150991-539	f08_i000_a00	12.0	15.0	360	480	taking a paper plate from a cabinet .
116	S53_Pizza_7150991-119	f153_i011_a00	133.0	140.0	3990	4230	scooping out tomato sauce from a jar with a spoon .
117	S16_Brownie_7150991-1431	f34_i014_a00	77.0	83.0	2310	2520	trying to open a bag of brownie mix .
118	S16_Pizza_7150991-3739	f36_i038_a00	410.0	421.0	12300	12660	slicing a pepperoni stick with a kitchen knife .
119	S48_Brownie_7150991-179	f132_i031_a00	360.0	362.0	10800	10890	taking a cooking spray from a base cabinet .
120	S51_Salad_7150991-225	f149_i003_a00	25.0	26.0	750	810	closing a fridge .
121	S08_Sandwich_7150991-539	f08_i012_a00	62.0	73.0	1860	2220	spreading peanut butter on a slice of bread with a butter knife .
122	S22_Pizza_7150991-664	f59_i028_a00	389.0	391.0	11670	11760	turning a baking pan .
123	S13_Eggs_7150991-1728	f22_i062_a00	424.0	426.0	12720	12810	putting an omelet on a paper plate .
124	S17_Pizza_7150991-811	f41_i052_a00	552.0	557.0	16560	16740	putting a baking pan into an oven .
125	S16_Salad_7150991-1308	f37_i023_a00	280.0	289.0	8400	8700	slicing a zucchini with a kitchen knife .
126	S35_Pizza_7150991-218	f104_i005_a00	41.0	46.0	1230	1410	taking a baking pan out of an oven .
127	S19_Salad_7150991-1394	f51_i000_a00	12.0	15.0	360	480	taking a bowl from a cabinet .
128	S15_Sandwich_7150991-200	f33_i018_a00	67.0	68.0	2010	2070	putting a slice of bread on top of another slice of bread .
129	S28_Pizza_7150991-1	f70_i026_a00	270.0	275.0	8100	8280	taking the package off a block cheese .
130	S11_Eggs_7150991-1247	f13_i020_a00	88.0	89.0	2640	2700	taking a pepper bottle from a cabinet .
131	S13_Eggs_7150991-1728	f22_i006_a00	47.0	49.0	1410	1500	picking up a spoon from a drawer .
132	S54_Brownie_7150991-308	f156_i012_a00	65.0	67.0	1950	2040	putting a cap on an oil bottle .
133	S16_Eggs_7150991-858	f35_i002_a00	14.0	16.0	420	510	taking seasonings from a cabinet .
134	S19_Sandwich_7150991-549	f52_i000_a00	12.0	16.0	360	510	taking a bag of sliced bread from a cabinet .
135	S49_Brownie_7150991-202	f136_i024_a00	134.0	143.0	4020	4320	pouring oil into a small measuring cup .
136	S51_Eggs_7150991-512	f147_i016_a00	73.0	75.0	2190	2280	taking a spatula from a drawer .
137	S15_Pizza_7150991-5341	f31_i023_a00	270.0	276.0	8100	8310	pressing the buttons on an oven .
138	S53_Pizza_7150991-119	f153_i000_a00	9.0	14.0	270	450	pressing the buttons on an oven .
139	S12_Eggs_7150991-1088	f17_i021_a00	117.0	119.0	3510	3600	putting a salt bottle into a cabinet .
140	S49_Eggs_7150991-224	f137_i000_a00	10.0	11.0	300	360	opening a cabinet .
141	S19_Pizza_7150991-399	f50_i025_a00	438.0	440.0	13140	13230	taking a packaged block cheese from a fridge .
142	S33_Brownie_7150991-211	f92_i006_a00	45.0	59.0	1350	1800	cracking an egg into a big bowl .
143	S22_Salad_7150991-952	f60_i025_a00	253.0	266.0	7590	8010	putting ingredients into a fridge .
144	S15_Salad_7150991-451	f32_i018_a00	79.0	80.0	2370	2430	taking a bag of croutons from a cabinet .
145	S25_Eggs_7150991-325	f64_i000_a00	11.0	13.0	330	420	opening a base cabinet .
146	S22_Brownie_7150991-921	f58_i000_a00	10.0	12.0	300	390	taking a box of brownie mix from a cabinet .
147	S28_Pizza_7150991-1	f70_i033_a00	329.0	387.0	9870	11640	grating a block cheese onto pizza crust with a cheese grater .
148	S18_Sandwich_7150991-893	f47_i017_a00	106.0	112.0	3180	3390	scooping out peanut butter from a jar with a butter knife .
149	S19_Salad_7150991-1394	f51_i024_a00	245.0	252.0	7350	7590	pouring dressing on a salad .
150	S48_Salad_7150991-222	f135_i008_a00	60.0	62.0	1800	1890	taking a kitchen knife from a drawer .
151	S31_Salad_7150991-1	f85_i012_a00	132.0	140.0	3960	4230	taking a celery head out of a bag .
152	S07_Sandwich_7150991-2343	f04_i004_a00	44.0	49.0	1320	1500	closing a bag of sliced bread with a twist tie .
153	S41_Pizza_7150991-287	f124_i017_a00	286.0	288.0	8580	8670	taking a cheese grater from a cabinet .
154	S11_Pizza_7150991-2116	f14_i015_a00	94.0	97.0	2820	2940	cutting the label of a pizza crust can .
155	S17_Eggs_7150991-1187	f40_i010_a00	46.0	50.0	1380	1530	taking an egg from an egg carton in a fridge .
156	S51_Sandwich_7150991-324	f150_i008_a00	47.0	53.0	1410	1620	scooping out blueberry jam from a jar with a butter knife .
157	S19_Pizza_7150991-399	f50_i052_a00	714.0	716.0	21420	21510	closing an oven .
158	S19_Salad_7150991-1394	f51_i027_a00	259.0	275.0	7770	8280	putting ingredients into a fridge .
159	S51_Salad_7150991-225	f149_i023_a00	249.0	253.0	7470	7620	taking a zucchini out of a bag .
160	S34_Sandwich_7150991-54	f101_i022_a00	110.0	112.0	3300	3390	putting a slice of bread on top of another slice of bread .
161	S34_Eggs_7150991-149	f98_i008_a00	62.0	65.0	1860	1980	taking a frying pan from a cabinet .
162	S40_Brownie_7150991-288	f117_i045_a00	341.0	345.0	10230	10380	taking a baking pan out of an oven .
163	S20_Pizza_7150991-180	f55_i010_a00	119.0	121.0	3570	3660	opening a fridge .
164	S22_Brownie_7150991-921	f58_i016_a00	102.0	128.0	3060	3870	beating eggs with a fork .
165	S35_Pizza_7150991-218	f104_i028_a00	475.0	478.0	14250	14370	cutting off the edge of a pepperoni stick with a kitchen knife .
166	S07_Eggs_7150991-1466	f01_i013_a00	74.0	76.0	2220	2310	taking a frying pan from a base cabinet .
167	S54_Pizza_7150991-192	f158_i008_a00	75.0	106.0	2250	3210	unrolling pizza crust on a baking pan .
168	S17_Brownie_7150991-1231	f39_i006_a00	46.0	56.0	1380	1710	opening a bag of brownie mix .
169	S34_Sandwich_7150991-54	f101_i009_a00	42.0	43.0	1260	1320	putting slices of bread on a paper plate .
170	S20_Brownie_7150991-236	f53_i006_a00	34.0	36.0	1020	1110	twisting off an oil bottle cap .
171	S49_Salad_7150991-294	f139_i005_a00	31.0	47.0	930	1440	taking leaves off a lettuce head .
172	S31_Salad_7150991-1	f85_i026_a00	290.0	295.0	8700	8880	taking a carrot out of a bag .
173	S22_Brownie_7150991-921	f58_i012_a00	79.0	85.0	2370	2580	cracking an egg into a big bowl with a fork .
174	S20_Salad_7150991-475	f56_i020_a00	209.0	211.0	6270	6360	taking a bag of croutons from a cabinet .
175	S22_Brownie_7150991-921	f58_i024_a00	190.0	199.0	5700	6000	mixing the ingredients in a big bowl with a fork .
176	S35_Salad_7150991-146	f105_i020_a00	125.0	129.0	3750	3900	untying a bag of carrots .
177	S11_Pizza_7150991-2116	f14_i018_a00	108.0	111.0	3240	3360	pushing the middle of a pizza crust can with a spoon .
178	S22_Salad_7150991-952	f60_i019_a00	187.0	191.0	5610	5760	cutting a zucchini in half with a kitchen knife .
179	S15_Brownie_7150991-4296	f29_i027_a00	164.0	184.0	4920	5550	pouring brownie batter into a baking pan with a fork .
180	S54_Salad_7150991-223	f159_i022_a00	234.0	247.0	7020	7440	putting carrot slices into a bowl .
181	S25_Pizza_7150991-293	f65_i014_a00	105.0	107.0	3150	3240	opening a tomato sauce jar .
182	S31_Pizza_7150991-1	f84_i026_a00	449.0	451.0	13470	13560	opening an oven .
183	S41_Salad_7150991-349	f125_i011_a00	67.0	72.0	2010	2190	taking a zucchini out of a bag .
184	S49_Sandwich_7150991-511	f140_i021_a00	155.0	156.0	4650	4710	closing a blueberry jam jar .
185	S25_Salad_7150991-302	f66_i010_a00	82.0	85.0	2460	2580	taking a kitchen knife from a drawer .
186	S18_Salad_7150991-649	f46_i007_a00	70.0	72.0	2100	2190	taking a carrot out of a bag .
187	S24_Brownie_7150991-483	f62_i033_a00	350.0	352.0	10500	10590	opening a base cabinet .
188	S47_Sandwich_7150991-197	f131_i020_a00	192.0	199.0	5760	6000	putting jars into a fridge .
189	S49_Salad_7150991-294	f139_i015_a00	141.0	148.0	4230	4470	taking a carrot out of a bag .
190	S48_Brownie_7150991-179	f132_i011_a00	58.0	61.0	1740	1860	pouring water into a big bowl .
191	S16_Brownie_7150991-1431	f34_i001_a00	9.0	11.0	270	360	taking a small measuring cup from a cabinet .
192	S53_Salad_7150991-143	f154_i004_a00	24.0	28.0	720	870	putting ingredients on a counter .
193	S34_Salad_7150991-200	f100_i029_a00	337.0	342.0	10110	10290	tying a bag of zucchini .
194	S13_Brownie_7150991-631	f21_i051_a00	495.0	565.0	14850	16980	scooping out brownie batter from a big bowl with a spoon .
195	S40_Pizza_7150991-206	f119_i000_a00	12.0	13.0	360	420	opening a fridge .
196	S53_Pizza_7150991-119	f153_i019_a00	202.0	213.0	6060	6420	opening a package of a block cheese .
197	S20_Salad_7150991-475	f56_i001_a00	11.0	18.0	330	570	taking ingredients from a fridge .
198	S35_Sandwich_7150991-204	f106_i036_a00	159.0	160.0	4770	4830	putting a paper plate on a counter .
199	S18_Sandwich_7150991-893	f47_i016_a00	103.0	104.0	3090	3150	opening a peanut butter jar .
200	S16_Pizza_7150991-3739	f36_i030_a00	313.0	335.0	9390	10080	grating a block cheese onto pizza crust with a cheese grater .
201	S40_Brownie_7150991-288	f117_i023_a00	109.0	111.0	3270	3360	opening a base cabinet .
202	S07_Eggs_7150991-1466	f01_i016_a00	84.0	88.0	2520	2670	pouring oil into a frying pan .
203	S48_Brownie_7150991-179	f132_i037_a00	392.0	399.0	11760	12000	putting a baking pan into an oven .
204	S29_Pizza_7150991-1	f75_i030_a00	319.0	329.0	9570	9900	putting a baking pan into an oven .
205	S13_Eggs_7150991-1728	f22_i040_a00	284.0	286.0	8520	8610	turning a gas stove knob .
206	S14_Brownie_7150991-1526	f25_i015_a00	121.0	137.0	3630	4140	pouring oil into a small measuring cup .
207	S35_Brownie_7150991-200	f102_i025_a00	157.0	158.0	4710	4770	taking a cap off a cooking spray .
208	S49_Pizza_7150991-198	f138_i015_a00	149.0	150.0	4470	4530	opening a fridge .
209	S17_Sandwich_7150991-4305	f43_i022_a00	106.0	108.0	3180	3270	putting a slice of bread on top of another slice of bread .
210	S53_Brownie_7150991-211	f151_i008_a00	53.0	55.0	1590	1680	wiping hands with a towel .
211	S13_Eggs_7150991-1728	f22_i048_a00	323.0	325.0	9690	9780	putting a spatula into a drawer .
212	S49_Brownie_7150991-202	f136_i010_a00	50.0	60.0	1500	1830	pouring brownie mix into a big bowl .
213	S20_Pizza_7150991-180	f55_i021_a00	233.0	240.0	6990	7230	taking a block cheese out of a package .
214	S13_Brownie_7150991-631	f21_i042_a00	294.0	296.0	8820	8910	washing a spoon with tap water .
215	S54_Salad_7150991-223	f159_i009_a00	84.0	88.0	2520	2670	putting lettuce leaves into a bowl .
216	S22_Salad_7150991-952	f60_i003_a00	26.0	27.0	780	840	opening a fridge .
217	S47_Pizza_7150991-191	f129_i015_a00	166.0	202.0	4980	6090	spreading tomato sauce on pizza crust with a spoon .
218	S49_Brownie_7150991-202	f136_i031_a00	240.0	243.0	7200	7320	taking a cooking spray from a base cabinet .
219	S28_Pizza_7150991-1	f70_i038_a00	415.0	416.0	12450	12510	opening a drawer .
220	S35_Brownie_7150991-200	f102_i022_a00	145.0	148.0	4350	4470	pouring oil into a big bowl .
221	S19_Pizza_7150991-399	f50_i013_a00	84.0	86.0	2520	2610	putting a baking pan on a counter .
222	S49_Eggs_7150991-224	f137_i029_a00	243.0	335.0	7290	10080	stirring eggs in a frying pan with a spatula .
223	S17_Sandwich_7150991-4305	f43_i013_a00	57.0	63.0	1710	1920	spreading peanut butter on a slice of bread with a butter knife .
224	S08_Salad_7150991-649	f07_i024_a00	210.0	211.0	6300	6360	opening a bag of croutons .
225	S11_Eggs_7150991-1247	f13_i021_a00	90.0	91.0	2700	2760	sprinkling pepper on a beaten egg in a big bowl .
226	S35_Sandwich_7150991-204	f106_i027_a00	129.0	137.0	3870	4140	spreading peanut butter on a slice of bread with a butter knife .
227	S51_Eggs_7150991-512	f147_i025_a00	113.0	120.0	3390	3630	sprinkling salt on eggs in a big bowl .
228	S50_Sandwich_7150991-450	f145_i002_a00	16.0	18.0	480	570	closing a fridge .
229	S50_Eggs_7150991-313	f142_i011_a00	51.0	55.0	1530	1680	widening the opening of an oil bottle .
230	S11_Eggs_7150991-1247	f13_i026_a00	161.0	165.0	4830	4980	taking a paper plate from a cabinet .
231	S36_Sandwich_7150991-165	f111_i014_a00	76.0	79.0	2280	2400	scooping out peanut butter from a jar with a butter knife .
232	S35_Brownie_7150991-200	f102_i003_a00	25.0	30.0	750	930	taking a box of brownie mix from a base cabinet .
233	S50_Brownie_7150991-203	f141_i022_a00	148.0	150.0	4440	4530	opening a drawer .
234	S34_Salad_7150991-200	f100_i027_a00	286.0	300.0	8580	9030	cutting zucchini slices into pieces with a kitchen knife .
235	S19_Sandwich_7150991-549	f52_i018_a00	97.0	100.0	2910	3030	scooping out peanut butter from a jar with a butter knife .
236	S29_Salad_7150991-1	f76_i018_a00	166.0	170.0	4980	5130	putting a zucchini into a bag .
237	S16_Eggs_7150991-858	f35_i004_a00	19.0	22.0	570	690	taking an egg from an egg carton in a fridge .
238	S31_Sandwich_7150991-1	f86_i010_a00	50.0	53.0	1500	1620	untying a bag of sliced bread .
239	S07_Sandwich_7150991-2343	f04_i012_a00	85.0	105.0	2550	3180	spreading peanut butter on a slice of bread with a butter knife .
240	S14_Salad_7150991-1238	f28_i022_a00	237.0	239.0	7110	7200	putting a kitchen knife and a peeler into a sink .
241	S19_Brownie_7150991-848	f48_i038_a00	392.0	406.0	11760	12210	stirring brownie batter with a fork .
242	S47_Brownie_7150991-179	f127_i026_a00	112.0	118.0	3360	3570	cutting the bag of brownie mix with a kitchen knife .
243	S34_Brownie_7150991-268	f97_i023_a00	117.0	121.0	3510	3660	pouring oil into a big bowl .
244	S11_Eggs_7150991-1247	f13_i022_a00	91.0	92.0	2730	2790	putting a pepper bottle into a cabinet .
245	S15_Brownie_7150991-4296	f29_i009_a00	46.0	50.0	1380	1530	pouring water into a big bowl .
246	S53_Brownie_7150991-211	f151_i019_a00	98.0	100.0	2940	3030	cutting the bag of brownie mix with a kitchen knife .
247	S54_Sandwich_7150991-305	f160_i022_a00	112.0	118.0	3360	3570	closing a peanut butter jar .
248	S20_Eggs_7150991-511	f54_i030_a00	293.0	295.0	8790	8880	tossing an egg in a frying pan .
249	S31_Brownie_7150991-1	f82_i017_a00	165.0	168.0	4950	5070	taking an oil bottle from a base cabinet .
250	S24_Brownie_7150991-483	f62_i006_a00	49.0	52.0	1470	1590	putting a cracked eggshell into a sink .
251	S17_Brownie_7150991-1231	f39_i023_a00	218.0	219.0	6540	6600	opening a base cabinet .
252	S11_Pizza_7150991-2116	f14_i002_a00	16.0	20.0	480	630	taking a baking pan from a base cabinet .
253	S15_Salad_7150991-451	f32_i014_a00	68.0	69.0	2040	2100	putting a carrot into a bag .
254	S54_Brownie_7150991-308	f156_i008_a00	38.0	40.0	1140	1230	taking a small measuring cup from a cabinet .
255	S12_Salad_7150991-2146	f19_i004_a00	81.0	96.0	2430	2910	tearing a celery stalk off a celery head .
256	S20_Pizza_7150991-180	f55_i026_a00	367.0	369.0	11010	11100	taking a pepperoni stick from a fridge .
257	S19_Brownie_7150991-848	f48_i016_a00	110.0	112.0	3300	3390	taking an oil bottle from a base cabinet .
258	S20_Salad_7150991-475	f56_i029_a00	270.0	274.0	8100	8250	putting a zucchini into a bag .
